task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769127/job/21448322789'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769223/job/21448335702'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769001/job/21448321942'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769031/job/21448322037'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769208/job/21448323428'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860768884/job/21448321455'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769068/job/21448322295'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860769043/job/21448322095'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860768917/job/21448321635'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7860768832/job/21448321203'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-02-11-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,d9891918a42c74002533ed5c06c42b7d0d070820
