task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
verify-rc-source-cpp-linux-almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700495779/job/15450371697'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-linux-almalinux-8-amd64,github,"{'env': {'ALMALINUX': '8'}, 'target': 'cpp', 'distro': 'almalinux'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-cpp-linux-conda-latest-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700496270/job/15450372511'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-linux-conda-latest-amd64,github,"{'env': {'CONDA': 'latest'}, 'target': 'cpp', 'distro': 'conda'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-cpp-linux-ubuntu-20.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700498342/job/15450375995'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-linux-ubuntu-20.04-amd64,github,"{'env': {'UBUNTU': '20.04'}, 'target': 'cpp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-cpp-linux-ubuntu-22.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700499108/job/15450377250'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-linux-ubuntu-22.04-amd64,github,"{'env': {'UBUNTU': '22.04'}, 'target': 'cpp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-cpp-macos-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/5700497564/job/15450374718'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-macos-amd64,github,"{'target': 'cpp', 'github_runner': 'macos-latest'}",verify-rc/github.macos.amd64.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-cpp-macos-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700498012/job/15450375472'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-macos-arm64,github,"{'env': {'ARROW_FLIGHT': 0, 'ARROW_GANDIVA': 0, 'TEST_INTEGRATION_JAVA': 0, 'PYTEST_ADDOPTS': ""-k 'not test_cancellation'""}, 'target': 'cpp', 'github_runner': ['self-hosted', 'macOS', 'arm64']}",verify-rc/github.macos.arm64.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-cpp-macos-conda-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700497104/job/15450373935'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-cpp-macos-conda-amd64,github,"{'target': 'cpp', 'use_conda': True, 'github_runner': 'macos-latest'}",verify-rc/github.macos.amd64.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-csharp-linux-almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700495298/job/15450370954'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-csharp-linux-almalinux-8-amd64,github,"{'env': {'ALMALINUX': '8'}, 'target': 'csharp', 'distro': 'almalinux'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-csharp-linux-conda-latest-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700497255/job/15450374199'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-csharp-linux-conda-latest-amd64,github,"{'env': {'CONDA': 'latest'}, 'target': 'csharp', 'distro': 'conda'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-csharp-linux-ubuntu-20.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700500663/job/15450379462'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-csharp-linux-ubuntu-20.04-amd64,github,"{'env': {'UBUNTU': '20.04'}, 'target': 'csharp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-csharp-linux-ubuntu-22.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700501141/job/15450380175'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-csharp-linux-ubuntu-22.04-amd64,github,"{'env': {'UBUNTU': '22.04'}, 'target': 'csharp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
verify-rc-source-csharp-macos-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5700498823/job/15450376736'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2023-07-29-0-github-verify-rc-source-csharp-macos-amd64,github,"{'target': 'csharp', 'github_runner': 'macos-latest'}",verify-rc/github.macos.amd64.yml,6b1c7234f7e7fd1d0b543a0513deb3f79f1af131
